X,Y,FID,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate
-93.298282,44.948363,1,14-0022391,Dumpster or other outside trash receptacle fire   ,2014/07/13 00:00:00,12:59:13,22 ,        ,Lake                     ,ST  ,W ,                                        ,               ,S ,Hennepin                 ,AVE ,  ,44.948363,-93.298282,154 ,2014/07/13 00:00:00,13:09:30,1,1,2014/07/14 05:51:30,Jul 13 2014 12:59PM,Jul 13 2014  1:09PM
-93.277155,44.971049,2,14-0022392,Brush or brush-and-grass mixture fire             ,2014/07/13 00:00:00,13:30:46,06 ,1300    ,Nicollet                 ,MALL,  ,                                        ,               ,  ,                         ,    ,  ,44.971049,-93.277155,142 ,2014/07/13 00:00:00,13:44:43,1,1,2014/07/14 05:51:30,Jul 13 2014  1:30PM,Jul 13 2014  1:44PM
-93.293064,45.011437,3,14-0022738,"Cooking fire, confined to container               ",2014/07/16 00:00:00,16:31:12,14 ,3012    ,Dupont                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.011437,-93.293064,113 ,2014/07/16 00:00:00,16:37:51,1,1,2014/07/19 05:51:38,Jul 16 2014  4:31PM,Jul 16 2014  4:37PM
-93.314836,44.991539,4,14-0023894,Passenger vehicle fire                            ,2014/07/26 00:00:00,00:21:28,16 ,2716    ,Plymouth                 ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.991539,-93.314836,131 ,2014/07/26 00:00:00,01:17:15,1,1,2014/07/30 05:51:32,Jul 26 2014 12:21AM,Jul 26 2014  1:17AM
-93.296634,45.04762,5,14-0024352,Building fire                                     ,2014/07/30 00:00:00,11:02:12,20 ,5106    ,Fremont                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.04762,-93.296634,111 ,2014/07/30 00:00:00,12:49:54,1,1,2014/08/01 05:51:33,Jul 30 2014 11:02AM,Jul 30 2014 12:49PM
-93.288828,44.994037,6,14-0024397,"Cooking fire, confined to container               ",2014/07/30 00:00:00,19:20:23,04 ,706     ,Printice                 ,LN  ,  ,                                        ,               ,  ,                         ,    ,  ,44.994037,-93.288828,113 ,2014/07/30 00:00:00,19:28:22,1,1,2014/08/01 05:51:33,Jul 30 2014  7:20PM,Jul 30 2014  7:28PM
-93.246099,44.94272,7,14-0026744,"Cooking fire, confined to container               ",2014/08/19 00:00:00,14:19:49,05 ,3313    ,Longfellow               ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.94272,-93.246099,113 ,2014/08/19 00:00:00,14:31:40,1,1,2014/08/20 05:51:30,Aug 19 2014  2:19PM,Aug 19 2014  2:31PM
-93.275384,44.948352,8,14-0026758,Grass fire                                        ,2014/08/19 00:00:00,18:06:18,08 ,        ,Stevens                  ,AVE ,S ,                                        ,               ,E ,Lake                     ,ST  ,  ,44.948352,-93.275384,143 ,2014/08/19 00:00:00,18:15:29,1,1,2014/08/20 05:51:30,Aug 19 2014  6:06PM,Aug 19 2014  6:15PM
-93.271163,45.002551,9,14-0026837,Building fire                                     ,2014/08/20 00:00:00,12:08:01,02 ,1501    ,Marshall                 ,ST  ,NE,                                        ,206            ,  ,                         ,    ,  ,45.002551,-93.271163,111 ,2014/08/20 00:00:00,12:54:06,1,1,2014/08/22 05:51:32,Aug 20 2014 12:08PM,Aug 20 2014 12:54PM
-93.239694,44.993695,10,14-0027796,"Outside rubbish, trash or waste fire              ",2014/08/28 00:00:00,17:57:17,11 ,422     ,Buchanan                 ,ST  ,NE,                                        ,               ,  ,                         ,    ,  ,44.993695,-93.239694,151 ,2014/08/28 00:00:00,18:06:54,1,1,2014/08/29 05:51:30,Aug 28 2014  5:57PM,Aug 28 2014  6:06PM
-93.216556,44.947995,11,14-0024798,Building fire                                     ,2014/08/03 00:00:00,00:55:47,21 ,3023    ,39                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.947995,-93.216556,111 ,2014/08/03 00:00:00,02:16:23,1,1,2014/08/06 05:51:32,Aug  3 2014 12:55AM,Aug  3 2014  2:16AM
-93.236981,44.983559,12,14-0024800,"Outside rubbish, trash or waste fire              ",2014/08/03 00:00:00,01:05:10,19 ,        ,6                        ,ST  ,SE,                                        ,               ,SE,12                       ,AVE ,  ,44.983559,-93.236981,151 ,2014/08/03 00:00:00,01:20:45,1,1,2014/08/04 05:51:33,Aug  3 2014  1:05AM,Aug  3 2014  1:20AM
-93.295942,44.956675,13,14-0027828,Building fire                                     ,2014/08/28 00:00:00,23:32:31,08 ,2516    ,Hennepin                 ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.956675,-93.295942,111 ,2014/08/29 00:00:00,00:26:48,1,1,2014/08/30 05:51:35,Aug 28 2014 11:32PM,Aug 29 2014 12:26AM
-93.298047,45.004909,14,14-0028969,Building fire                                     ,2014/09/07 00:00:00,03:17:17,14 ,2508    ,HUMBOLDT                 ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.004909,-93.298047,111 ,2014/09/07 00:00:00,06:25:37,1,1,2014/09/10 05:51:30,Sep  7 2014  3:17AM,Sep  7 2014  6:25AM
-93.24124,44.964004,15,14-0024704,"Cooking fire, confined to container               ",2014/08/02 00:00:00,12:04:02,07 ,2121    ,9                        ,ST  ,S ,                                        ,109            ,  ,                         ,    ,  ,44.964004,-93.24124,113 ,2014/08/02 00:00:00,12:41:13,1,1,2014/08/04 05:51:33,Aug  2 2014 12:04PM,Aug  2 2014 12:41PM
-93.281853,44.917136,16,14-0026854,"Cooking fire, confined to container               ",2014/08/20 00:00:00,16:12:25,27 ,4736    ,Pillsbury                ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.917136,-93.281853,113 ,2014/08/20 00:00:00,16:50:03,1,1,2014/08/21 05:51:30,Aug 20 2014  4:12PM,Aug 20 2014  4:50PM
-93.253312,44.964755,17,14-0025958,Building fire                                     ,2014/08/13 00:00:00,01:32:19,07 ,1529    ,18                       ,ST  ,E ,                                        ,               ,  ,                         ,    ,  ,44.964755,-93.253312,111 ,2014/08/13 00:00:00,02:43:12,1,1,2014/09/04 05:51:34,Aug 13 2014  1:32AM,Aug 13 2014  2:43AM
-93.2275,45.004722,18,14-0031516,Passenger vehicle fire                            ,2014/09/28 00:00:00,19:17:55,15 ,1650    ,New Brighton             ,BLVD,  ,                                        ,               ,  ,                         ,    ,  ,45.004722,-93.2275,131 ,2014/09/28 00:00:00,19:27:43,1,1,2014/09/30 05:51:35,Sep 28 2014  7:17PM,Sep 28 2014  7:27PM
-93.299564,45.013184,19,14-0029718,Building fire                                     ,2014/09/13 00:00:00,12:16:31,14 ,1615    ,Lowry                    ,AVE ,N ,                                        ,1              ,  ,                         ,    ,  ,45.013184,-93.299564,111 ,2014/09/13 00:00:00,12:36:36,1,1,2014/09/14 05:51:35,Sep 13 2014 12:16PM,Sep 13 2014 12:36PM
-93.309515,44.990403,20,14-0035541,Brush or brush-and-grass mixture fire             ,2014/11/01 00:00:00,15:18:46,16 ,1245    ,Queen                    ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.990403,-93.309515,142 ,2014/11/01 00:00:00,15:22:49,1,1,2014/11/02 05:52:39,Nov  1 2014  3:18PM,Nov  1 2014  3:22PM
-93.207626,44.940911,21,14-0035545,Dumpster or other outside trash receptacle fire   ,2014/11/01 00:00:00,16:05:56,21 ,3433    ,46                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.940911,-93.207626,154 ,2014/11/01 00:00:00,16:29:34,1,1,2014/11/02 05:52:39,Nov  1 2014  4:05PM,Nov  1 2014  4:29PM
-93.281322,44.952826,22,14-0030414,"Cooking fire, confined to container               ",2014/09/19 00:00:00,21:46:11,08 ,2750    ,Pillsbury                ,AVE ,S ,                                        ,106            ,  ,                         ,    ,  ,44.952826,-93.281322,113 ,2014/09/19 00:00:00,22:11:30,1,1,2014/09/22 05:51:30,Sep 19 2014  9:46PM,Sep 19 2014 10:11PM
-93.287992,45.006869,23,14-0024818,"Cooking fire, confined to container               ",2014/08/03 00:00:00,03:36:38,14 ,2653    ,Lyndale                  ,AVE ,N ,                                        ,204            ,  ,                         ,    ,  ,45.006869,-93.287992,113 ,2014/08/03 00:00:00,03:52:57,1,1,2014/08/04 05:51:33,Aug  3 2014  3:36AM,Aug  3 2014  3:52AM
-93.305744,44.987006,24,14-0024819,Building fire                                     ,2014/08/03 00:00:00,03:56:41,16 ,902     ,NEWTON                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.987006,-93.305744,111 ,2014/08/03 00:00:00,04:44:52,1,1,2014/08/06 05:51:32,Aug  3 2014  3:56AM,Aug  3 2014  4:44AM
-93.26027,44.980291,25,14-0036793,Building fire                                     ,2014/11/13 00:00:00,07:22:52,01 ,155     ,5                        ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.980291,-93.26027,111 ,2014/11/13 00:00:00,09:31:36,2,1,2014/11/15 05:52:45,Nov 13 2014  7:22AM,Nov 13 2014  9:31AM
-93.295833,44.988056,26,14-0025075,"Special outside fire, Other                       ",2014/08/05 00:00:00,13:55:21,16 ,1301    ,10                       ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.988056,-93.295833,160 ,2014/08/05 00:00:00,14:08:20,1,1,2014/08/08 05:51:33,Aug  5 2014  1:55PM,Aug  5 2014  2:08PM
