X,Y,FID,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate
-93.309508,45.011594,27,14-0026207,Building fire                                     ,2014/08/15 00:00:00,00:43:07,14 ,3018    ,Queen                    ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.011594,-93.309508,111 ,2014/08/15 00:00:00,03:01:54,1,1,2014/08/16 05:51:33,Aug 15 2014 12:43AM,Aug 15 2014  3:01AM
-93.308083,45.049397,28,14-0027026,Passenger vehicle fire                            ,2014/08/22 00:00:00,01:21:36,20 ,        ,52                       ,AVE ,N ,                                        ,               ,N ,OLIVER                   ,AVE ,  ,45.049397,-93.308083,131 ,2014/08/22 00:00:00,02:37:18,1,1,2014/08/26 05:51:33,Aug 22 2014  1:21AM,Aug 22 2014  2:37AM
-93.245229,45.010883,29,14-0026701,Building fire                                     ,2014/08/19 00:00:00,06:02:53,15 ,1020    ,23                       ,AVE ,NE,                                        ,               ,  ,                         ,    ,  ,45.010883,-93.245229,111 ,2014/08/19 00:00:00,07:11:57,1,1,2014/08/26 05:51:33,Aug 19 2014  6:02AM,Aug 19 2014  7:11AM
-93.304447,45.015136,30,14-0022747,Building fire                                     ,2014/07/16 00:00:00,17:53:30,14 ,3307    ,Morgan                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.015136,-93.304447,111 ,2014/07/16 00:00:00,18:15:40,1,1,2014/07/17 05:51:38,Jul 16 2014  5:53PM,Jul 16 2014  6:15PM
-93.274536,44.943715,31,14-0022754,Road freight or transport vehicle fire            ,2014/07/16 00:00:00,18:51:13,17 ,3401    ,INTERSTATE 35W NB        ,    ,  ,                                        ,               ,  ,                         ,    ,  ,44.943715,-93.274536,132 ,2014/07/16 00:00:00,19:06:31,1,1,2014/07/17 05:51:38,Jul 16 2014  6:51PM,Jul 16 2014  7:06PM
-93.267745,44.949601,32,14-0025180,Building fire                                     ,2014/08/06 00:00:00,11:37:31,08 ,2928    ,PORTLAND                 ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.949601,-93.267745,111 ,2014/08/06 00:00:00,12:58:34,1,1,2014/08/08 05:51:33,Aug  6 2014 11:37AM,Aug  6 2014 12:58PM
-93.30825,45.015637,33,14-0022767,Outside equipment fire                            ,2014/07/16 00:00:00,21:27:52,14 ,3333    ,Penn                     ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.015637,-93.30825,162 ,2014/07/16 00:00:00,21:59:47,1,1,2014/07/18 05:51:35,Jul 16 2014  9:27PM,Jul 16 2014  9:59PM
-93.298607,44.952035,34,14-0023213,Dumpster or other outside trash receptacle fire   ,2014/07/20 00:00:00,10:55:40,08 ,1430    ,28                       ,ST  ,W ,                                        ,               ,  ,                         ,    ,  ,44.952035,-93.298607,154 ,2014/07/20 00:00:00,11:02:16,1,1,2014/07/21 05:51:38,Jul 20 2014 10:55AM,Jul 20 2014 11:02AM
-93.249298,44.968463,35,14-0024486,Dumpster or other outside trash receptacle fire   ,2014/07/31 00:00:00,17:46:31,07 ,1630    ,6                        ,ST  ,S ,                                        ,               ,  ,                         ,    ,  ,44.968463,-93.249298,154 ,2014/07/31 00:00:00,18:05:24,1,1,2014/08/01 05:51:33,Jul 31 2014  5:46PM,Jul 31 2014  6:05PM
-93.295583,45.01314,36,14-0024490,Passenger vehicle fire                            ,2014/07/31 00:00:00,18:26:22,14 ,        ,Lowry                    ,AVE ,N ,                                        ,               ,N ,Fremont                  ,AVE ,  ,45.01314,-93.295583,131 ,2014/07/31 00:00:00,18:57:39,1,1,2014/08/01 05:51:33,Jul 31 2014  6:26PM,Jul 31 2014  6:57PM
-93.286861,44.944324,37,14-0022770,Building fire                                     ,2014/07/16 00:00:00,21:46:09,08 ,3221    ,Garfield                 ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.944324,-93.286861,111 ,2014/07/16 00:00:00,22:45:33,1,1,2014/07/18 05:51:35,Jul 16 2014  9:46PM,Jul 16 2014 10:45PM
-93.31475,44.998818,38,14-0024526,"Cooking fire, confined to container               ",2014/08/01 00:00:00,00:43:32,14 ,2711    ,Golden Valley            ,RD  ,  ,                                        ,204            ,  ,                         ,    ,  ,44.998818,-93.31475,113 ,2014/08/01 00:00:00,01:05:57,1,1,2014/08/02 05:51:37,Aug  1 2014 12:43AM,Aug  1 2014  1:05AM
-93.300963,45.005074,39,14-0022408,"Outside rubbish, trash or waste fire              ",2014/07/13 00:00:00,15:15:37,14 ,2521    ,James                    ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.005074,-93.300963,151 ,2014/07/13 00:00:00,15:36:01,1,1,2014/07/15 05:51:30,Jul 13 2014  3:15PM,Jul 13 2014  3:36PM
-93.237154,44.998699,40,14-0022413,Passenger vehicle fire                            ,2014/07/13 00:00:00,17:01:12,11 ,        ,Broadway                 ,ST  ,NE,                                        ,               ,NE,Johnson                  ,ST  ,  ,44.998699,-93.237154,131 ,2014/07/13 00:00:00,17:17:56,1,1,2014/07/14 05:51:30,Jul 13 2014  5:01PM,Jul 13 2014  5:17PM
-93.291803,45.014052,41,14-0022418,"Natural vegetation fire, Other                    ",2014/07/13 00:00:00,17:53:16,14 ,3251    ,Colfax                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.014052,-93.291803,140 ,2014/07/13 00:00:00,18:01:26,1,1,2014/07/14 05:51:30,Jul 13 2014  5:53PM,Jul 13 2014  6:01PM
-93.297171,44.992161,42,14-0024527,"Outside rubbish, trash or waste fire              ",2014/08/01 00:00:00,00:52:16,04 ,1319    ,Girard                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,44.992161,-93.297171,151 ,2014/08/01 00:00:00,01:00:46,1,1,2014/08/02 05:51:37,Aug  1 2014 12:52AM,Aug  1 2014  1:00AM
-93.309548,45.021,43,14-0034584,Passenger vehicle fire                            ,2014/10/24 00:00:00,02:34:09,14 ,3630    ,Queen                    ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.021,-93.309548,131 ,2014/10/24 00:00:00,04:00:53,1,1,2014/10/25 05:51:33,Oct 24 2014  2:34AM,Oct 24 2014  4:00AM
-93.270184,44.924161,44,14-0024423,Fires in structure other than in a building       ,2014/07/31 00:00:00,01:07:55,17 ,4352    ,4                        ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.924161,-93.270184,112 ,2014/07/31 00:00:00,02:05:20,1,1,2014/08/01 05:51:33,Jul 31 2014  1:07AM,Jul 31 2014  2:05AM
-93.276389,44.976111,45,14-0023336,"Cooking fire, confined to container               ",2014/07/21 00:00:00,11:38:33,06 ,15      ,9                        ,ST  ,S ,                                        ,               ,  ,                         ,    ,  ,44.976111,-93.276389,113 ,2014/07/21 00:00:00,11:58:45,1,1,2014/07/22 05:51:34,Jul 21 2014 11:38AM,Jul 21 2014 11:58AM
-93.279955,44.946595,46,14-0024501,"Cooking fire, confined to container               ",2014/07/31 00:00:00,20:13:41,08 ,115     ,31                       ,ST  ,W ,                                        ,               ,  ,                         ,    ,  ,44.946595,-93.279955,113 ,2014/07/31 00:00:00,20:44:24,1,1,2014/08/01 05:51:33,Jul 31 2014  8:13PM,Jul 31 2014  8:44PM
-93.26512,44.941377,47,14-0022818,Passenger vehicle fire                            ,2014/07/17 00:00:00,09:13:52,17 ,        ,34                       ,ST  ,E ,                                        ,               ,  ,Park                     ,AVE ,  ,44.941377,-93.26512,131 ,2014/07/17 00:00:00,09:25:26,1,1,2014/07/18 05:51:35,Jul 17 2014  9:13AM,Jul 17 2014  9:25AM
-93.315894,45.00084,48,14-0040011,"Chimney or flue fire, confined to chimney or flue ",2014/12/10 00:00:00,17:20:03,14 ,2122    ,Vincent                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.00084,-93.315894,114 ,2014/12/10 00:00:00,17:43:05,1,1,2014/12/11 05:52:50,Dec 10 2014  5:20PM,Dec 10 2014  5:43PM
-93.303756,44.963319,49,14-0024509,Passenger vehicle fire                            ,2014/07/31 00:00:00,21:40:55,22 ,        ,Franklin                 ,AVE ,W ,                                        ,               ,W ,Lake Of The Isles Pkwy   ,    ,  ,44.963319,-93.303756,131 ,2014/07/31 00:00:00,21:52:37,1,1,2014/08/01 05:51:33,Jul 31 2014  9:40PM,Jul 31 2014  9:52PM
-93.279657,44.9531,50,14-0024518,"Cooking fire, confined to container               ",2014/07/31 00:00:00,22:35:35,08 ,2736    ,Blaisdell                ,AVE ,S ,                                        ,208            ,  ,                         ,    ,  ,44.9531,-93.279657,113 ,2014/07/31 00:00:00,22:46:11,1,1,2014/08/01 05:51:33,Jul 31 2014 10:35PM,Jul 31 2014 10:46PM
-93.298333,44.937778,51,14-0022848,"Natural vegetation fire, Other                    ",2014/07/17 00:00:00,14:21:39,22 ,3600    ,Hennepin                 ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.937778,-93.298333,140 ,2014/07/17 00:00:00,14:38:39,1,1,2014/07/19 05:51:38,Jul 17 2014  2:21PM,Jul 17 2014  2:38PM
-93.296969,44.953269,52,14-0023343,"Cooking fire, confined to container               ",2014/07/21 00:00:00,12:39:35,08 ,2726    ,Girard                   ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.953269,-93.296969,113 ,2014/07/21 00:00:00,13:06:05,1,1,2014/07/22 05:51:34,Jul 21 2014 12:39PM,Jul 21 2014  1:06PM
-93.296389,44.897778,53,14-0023394,"Outside rubbish, trash or waste fire              ",2014/07/21 00:00:00,19:44:29,27 ,1328    ,58                       ,ST  ,W ,                                        ,               ,  ,                         ,    ,  ,44.897778,-93.296389,151 ,2014/07/21 00:00:00,20:02:42,1,1,2014/07/24 05:51:34,Jul 21 2014  7:44PM,Jul 21 2014  8:02PM
-93.297008,44.948366,54,14-0024593,Grass fire                                        ,2014/08/01 00:00:00,13:59:42,22 ,        ,Lake                     ,ST  ,W ,                                        ,               ,S ,Girard                   ,AVE ,  ,44.948366,-93.297008,143 ,2014/08/01 00:00:00,14:06:59,1,1,2014/08/02 05:51:37,Aug  1 2014  1:59PM,Aug  1 2014  2:06PM
-93.285612,44.963454,55,14-0022919,Dumpster or other outside trash receptacle fire   ,2014/07/18 00:00:00,00:30:56,06 ,508     ,Ridgewood                ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.963454,-93.285612,154 ,2014/07/18 00:00:00,00:50:03,1,1,2014/07/18 05:51:35,Jul 18 2014 12:30AM,Jul 18 2014 12:50AM
-93.281319,44.953374,56,14-0022921,Building fire                                     ,2014/07/18 00:00:00,00:35:00,08 ,2720    ,Pillsbury                ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.953374,-93.281319,111 ,2014/07/18 00:00:00,00:45:19,1,1,2014/07/18 05:51:35,Jul 18 2014 12:35AM,Jul 18 2014 12:45AM
-93.297046,44.944372,57,14-0022926,Building fire                                     ,2014/07/18 00:00:00,01:51:18,22 ,3220    ,Girard                   ,AVE ,S ,                                        ,107            ,  ,                         ,    ,  ,44.944372,-93.297046,111 ,2014/07/18 00:00:00,02:01:55,1,1,2014/07/18 05:51:35,Jul 18 2014  1:51AM,Jul 18 2014  2:01AM
-93.248629,44.937421,58,14-0029758,Building fire                                     ,2014/09/13 00:00:00,18:40:21,17 ,3617    ,18                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.937421,-93.248629,111 ,2014/09/13 00:00:00,19:35:15,1,1,2014/09/17 05:51:37,Sep 13 2014  6:40PM,Sep 13 2014  7:35PM
-93.21893,44.998788,59,14-0029762,Passenger vehicle fire                            ,2014/09/13 00:00:00,19:04:20,11 ,3010    ,Broadway                 ,ST  ,NE,                                        ,               ,  ,                         ,    ,  ,44.998788,-93.21893,131 ,2014/09/13 00:00:00,19:28:47,1,1,2014/09/14 05:51:35,Sep 13 2014  7:04PM,Sep 13 2014  7:28PM
-93.221026,44.964801,60,14-0024646,Brush or brush-and-grass mixture fire             ,2014/08/01 00:00:00,20:42:10,19 ,1300-139,River Pkwy               ,    ,E ,                                        ,               ,  ,                         ,    ,  ,44.964801,-93.221026,142 ,2014/08/01 00:00:00,21:09:19,1,1,2014/08/02 05:51:37,Aug  1 2014  8:42PM,Aug  1 2014  9:09PM
-93.296851,45.018571,61,14-0024117,Passenger vehicle fire                            ,2014/07/28 00:00:00,02:07:45,14 ,3500    ,GIRARD                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.018571,-93.296851,131 ,2014/07/28 00:00:00,03:57:33,1,1,2014/07/30 05:51:32,Jul 28 2014  2:07AM,Jul 28 2014  3:57AM
-93.273541,44.970869,62,14-0025244,Dumpster or other outside trash receptacle fire   ,2014/08/06 00:00:00,23:08:34,06 ,        ,2                        ,AVE ,S ,                                        ,               ,S ,12                       ,ST  ,  ,44.970869,-93.273541,154 ,2014/08/06 00:00:00,23:15:08,1,1,2014/08/08 05:51:33,Aug  6 2014 11:08PM,Aug  6 2014 11:15PM
-93.255425,44.964929,63,14-0024069,"Cooking fire, confined to container               ",2014/07/27 00:00:00,15:56:28,07 ,1818    ,14                       ,AVE ,S ,                                        ,31             ,  ,                         ,    ,  ,44.964929,-93.255425,113 ,2014/07/27 00:00:00,16:14:20,1,1,2014/07/28 05:51:38,Jul 27 2014  3:56PM,Jul 27 2014  4:14PM
-93.282166,44.967768,64,14-0025262,"Trash or rubbish fire, contained                  ",2014/08/07 00:00:00,01:08:06,06 ,315     ,15                       ,ST  ,W ,                                        ,32             ,  ,                         ,    ,  ,44.967768,-93.282166,118 ,2014/08/07 00:00:00,01:16:22,1,1,2014/08/08 05:51:33,Aug  7 2014  1:08AM,Aug  7 2014  1:16AM
-93.291432,45.04263,65,14-0024868,Building fire                                     ,2014/08/03 00:00:00,17:09:18,20 ,4827    ,ALDRICH                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.04263,-93.291432,111 ,2014/08/03 00:00:00,18:23:09,1,1,2014/08/06 05:51:32,Aug  3 2014  5:09PM,Aug  3 2014  6:23PM
-93.288797,44.984447,66,14-0025133,Passenger vehicle fire                            ,2014/08/05 00:00:00,22:50:53,16 ,712     ,Olson Memorial           ,HWY ,  ,                                        ,               ,  ,                         ,    ,  ,44.984447,-93.288797,131 ,2014/08/05 00:00:00,23:03:18,1,1,2014/08/06 05:51:32,Aug  5 2014 10:50PM,Aug  5 2014 11:03PM
-93.29019,45.046525,67,14-0023511,Building fire                                     ,2014/07/22 00:00:00,18:19:16,20 ,5045    ,Aldrich                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.046525,-93.29019,111 ,2014/07/22 00:00:00,18:38:06,1,1,2014/07/24 05:51:34,Jul 22 2014  6:19PM,Jul 22 2014  6:38PM
-93.25372,44.954583,68,14-0023533,"Outside rubbish, trash or waste fire              ",2014/07/22 00:00:00,21:57:49,05 ,2652    ,15                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.954583,-93.25372,151 ,2014/07/22 00:00:00,22:05:01,1,1,2014/07/24 05:51:34,Jul 22 2014  9:57PM,Jul 22 2014 10:05PM
-93.272815,44.94407,69,14-0026023,"Cooking fire, confined to container               ",2014/08/13 00:00:00,15:10:02,17 ,3249    ,3                        ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.94407,-93.272815,113 ,2014/08/13 00:00:00,15:29:42,1,1,2014/08/14 05:51:35,Aug 13 2014  3:10PM,Aug 13 2014  3:29PM
-93.303183,45.018807,70,14-0023425,Building fire                                     ,2014/07/22 00:00:00,01:08:54,14 ,3511    ,Logan                    ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.018807,-93.303183,111 ,2014/07/22 00:00:00,01:22:43,1,1,2014/07/24 05:51:34,Jul 22 2014  1:08AM,Jul 22 2014  1:22AM
-93.240925,44.961804,71,14-0024088,"Cooking fire, confined to container               ",2014/07/27 00:00:00,19:09:03,07 ,2104    ,22                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.961804,-93.240925,113 ,2014/07/27 00:00:00,19:36:19,1,1,2014/07/28 05:51:38,Jul 27 2014  7:09PM,Jul 27 2014  7:36PM
-93.224352,44.932344,72,14-0025349,Dumpster or other outside trash receptacle fire   ,2014/08/07 00:00:00,23:18:46,21 ,        ,39                       ,ST  ,E ,                                        ,               ,  ,Snelling                 ,AVE ,  ,44.932344,-93.224352,154 ,2014/08/08 00:00:00,05:29:53,1,1,2014/08/12 05:51:37,Aug  7 2014 11:18PM,Aug  8 2014  5:29AM
-93.205088,44.923427,73,14-0025373,"Outside rubbish, trash or waste fire              ",2014/08/08 00:00:00,10:10:51,21 ,        ,44                       ,ST  ,E ,                                        ,               ,W ,River Pkwy               ,    ,S ,44.923427,-93.205088,151 ,2014/08/08 00:00:00,10:26:27,1,1,2014/08/09 05:51:35,Aug  8 2014 10:10AM,Aug  8 2014 10:26AM
-93.276178,44.977418,74,14-0027151,Passenger vehicle fire                            ,2014/08/23 00:00:00,01:59:44,16 ,28      ,8                        ,ST  ,N ,                                        ,               ,  ,                         ,    ,  ,44.977418,-93.276178,131 ,2014/08/23 00:00:00,02:41:07,1,1,2014/08/25 05:51:30,Aug 23 2014  1:59AM,Aug 23 2014  2:41AM
-93.291203,44.999146,75,14-0025304,"Special outside fire, Other                       ",2014/08/07 00:00:00,14:57:55,04 ,910     ,Broadway                 ,    ,  ,                                        ,               ,  ,                         ,    ,  ,44.999146,-93.291203,160 ,2014/08/07 00:00:00,15:10:45,1,1,2014/08/08 05:51:33,Aug  7 2014  2:57PM,Aug  7 2014  3:10PM
-93.236017,44.948373,76,14-0025457,"Outside rubbish, trash or waste fire              ",2014/08/09 00:00:00,01:18:06,21 ,2500    ,LAKE                     ,ST  ,E ,                                        ,               ,  ,                         ,    ,  ,44.948373,-93.236017,151 ,2014/08/09 00:00:00,01:36:49,1,1,2014/08/10 05:51:30,Aug  9 2014  1:18AM,Aug  9 2014  1:36AM
