X,Y,OBJECTID,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate
-93.2661587549999,45.0019909970001,1,18-0000030,"Special outside fire, Other                       ",2018/01/01 00:00:00,01:56:42,02 ,        ,2                        ,ST  ,NE,                                        ,               ,NE,14                       ,AVE ,  ,45.001983,-93.266151,160 ,2018/01/01 00:00:00,02:15:11,1,1,2020/05/12 10:51:51,2018/01/01 01:56:41,2018/01/01 02:15:11
-93.283007756,44.9736889920001,2,18-0000068,Passenger vehicle fire                            ,2018/01/01 00:00:00,05:50:32,06 ,        ,HENNEPIN                 ,AVE ,S ,                                        ,               ,  ,LAUREL                   ,AVE ,  ,44.973681,-93.283,131 ,2018/01/01 00:00:00,06:23:07,1,1,2020/05/12 10:51:51,2018/01/01 05:50:32,2018/01/01 06:23:06
-93.262614747,44.9547349900001,3,18-0000148,"Cooking fire, confined to container               ",2018/01/01 00:00:00,17:12:33,05 ,2644    ,Chicago                  ,AVE ,  ,                                        ,107            ,  ,                         ,    ,  ,44.954727,-93.262607,113 ,2018/01/01 00:00:00,17:45:23,1,1,2020/05/12 10:51:51,2018/01/01 17:12:33,2018/01/01 17:45:23
-93.263969751,44.9798939940001,4,18-0000150,Building fire                                     ,2018/01/01 00:00:00,17:17:41,01 ,313     ,Washington               ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.979886,-93.263962,111 ,2018/01/01 00:00:00,18:03:27,1,1,2020/05/12 10:51:51,2018/01/01 17:17:41,2018/01/01 18:03:27
-93.253771743,44.94624199,5,18-0000154,"Cooking fire, confined to container               ",2018/01/01 00:00:00,17:34:47,05 ,3117    ,15                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.946234,-93.253764,113 ,2018/01/01 00:00:00,17:51:11,1,1,2020/05/12 10:51:51,2018/01/01 17:34:47,2018/01/01 17:51:11
-93.2509057519999,45.015235,6,18-0000189,Building fire                                     ,2018/01/01 00:00:00,22:18:32,15 ,2614    ,Quincy                   ,ST  ,NE,                                        ,               ,  ,                         ,    ,  ,45.015227,-93.250898,111 ,2018/01/01 00:00:00,23:25:32,1,1,2020/05/12 10:51:51,2018/01/01 22:18:32,2018/01/01 23:25:32
-93.2361187399999,44.9572299920001,7,18-0000236,Building fire                                     ,2018/01/02 00:00:00,07:09:23,07 ,2507    ,25                       ,ST  ,E ,                                        ,               ,  ,                         ,    ,  ,44.957222,-93.236111,111 ,2018/01/02 00:00:00,07:46:00,1,1,2020/05/12 10:51:51,2018/01/02 07:09:23,2018/01/02 07:46:00
-93.32650776,44.91356698,8,18-0000287,Building fire                                     ,2018/01/02 00:00:00,13:35:48,28 ,4941    ,Drew                     ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.913559,-93.3265,111 ,2018/01/02 00:00:00,14:55:55,1,1,2020/05/12 10:51:51,2018/01/02 13:35:48,2018/01/02 14:55:55
-93.311210753,44.8988639790001,9,18-0000337,"Cooking fire, confined to container               ",2018/01/02 00:00:00,18:16:45,28 ,5748    ,Russell                  ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.898856,-93.311203,113 ,2018/01/02 00:00:00,18:32:55,1,1,2020/05/12 10:51:51,2018/01/02 18:16:44,2018/01/02 18:32:55
-93.291025749,44.906901981,10,18-0000342,"Cooking fire, confined to container               ",2018/01/02 00:00:00,19:07:32,27 ,914     ,53                       ,ST  ,W ,                                        ,               ,  ,                         ,    ,  ,44.906894,-93.291018,113 ,2018/01/02 00:00:00,19:17:20,1,1,2020/05/12 10:51:51,2018/01/02 19:07:32,2018/01/02 19:17:20
-93.238201741,44.9639819930001,11,18-0000365,"Fuel burner/boiler malfunction, fire confined     ",2018/01/02 00:00:00,21:46:43,07 ,2329    ,9                        ,ST  ,S ,                                        ,423            ,  ,                         ,    ,  ,44.963974,-93.238194,116 ,2018/01/02 00:00:00,22:20:17,1,1,2020/05/12 10:51:51,2018/01/02 21:46:43,2018/01/02 22:20:17
-93.225685739,44.969433995,12,18-0000429,Building fire                                     ,2018/01/03 00:00:00,10:40:37,19 ,633     ,Ontario                  ,ST  ,SE,                                        ,201            ,  ,                         ,    ,  ,44.969426,-93.225678,111 ,2018/01/03 00:00:00,11:53:16,1,1,2020/05/12 10:51:51,2018/01/03 10:40:37,2018/01/03 11:53:16
-93.240801746,44.987661996,13,18-0000449,"Cooking fire, confined to container               ",2018/01/03 00:00:00,13:19:37,11 ,814     ,8                        ,ST  ,SE,                                        ,               ,  ,                         ,    ,  ,44.987654,-93.240794,113 ,2018/01/03 00:00:00,13:39:40,1,1,2020/05/12 10:51:51,2018/01/03 13:19:37,2018/01/03 13:39:39
-93.2563127449999,44.94954999,14,18-0000458,Building fire                                     ,2018/01/03 00:00:00,14:17:16,05 ,2930    ,13                       ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.949542,-93.256305,111 ,2018/01/03 00:00:00,14:37:22,1,1,2020/05/12 10:51:51,2018/01/03 14:17:15,2018/01/03 14:37:22
-93.303178766,45.0103109950001,15,18-0000475,Building fire                                     ,2018/01/03 00:00:00,16:36:04,14 ,2939    ,LOGAN                    ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.010303,-93.303171,111 ,2018/01/03 00:00:00,18:11:52,1,1,2020/05/12 10:51:51,2018/01/03 16:36:04,2018/01/03 18:11:51
-93.2239787409999,44.991482998,16,18-0000512,"Fuel burner/boiler malfunction, fire confined     ",2018/01/03 00:00:00,20:41:20,11 ,2010    ,Hennepin                 ,AVE ,E ,                                        ,               ,  ,                         ,    ,  ,44.991475,-93.223971,116 ,2018/01/03 00:00:00,21:11:03,1,1,2020/05/12 10:51:51,2018/01/03 20:41:19,2018/01/03 21:11:02
-93.299615756,44.9425529860001,17,18-0000517,"Special outside fire, Other                       ",2018/01/03 00:00:00,21:16:43,22 ,3323    ,Holmes                   ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.942545,-93.299608,160 ,2018/01/03 00:00:00,21:34:46,1,1,2020/05/12 10:51:51,2018/01/03 21:16:43,2018/01/03 21:34:45
-93.274451754,44.9766749930001,18,18-0000653,Overpressure rupture of air or gas pipe/pipeline  ,2018/01/04 00:00:00,22:29:52,06 ,24      ,8                        ,ST  ,S ,                                        ,               ,  ,                         ,    ,  ,44.976667,-93.274444,221 ,2018/01/04 00:00:00,22:47:39,1,1,2020/05/12 10:51:51,2018/01/04 22:29:52,2018/01/04 22:47:38
-93.310863763,44.9695809890001,19,18-0000659,Passenger vehicle fire                            ,2018/01/04 00:00:00,23:25:47,16 ,        ,Wayzata                  ,BLVD,S ,                                        ,               ,  ,Madeira                  ,AVE ,  ,44.969573,-93.310856,131 ,2018/01/04 00:00:00,23:53:43,1,1,2020/05/12 10:51:51,2018/01/04 23:25:46,2018/01/04 23:53:43
-93.2713497509999,44.9652259910001,20,18-0000662,Building fire                                     ,2018/01/04 00:00:00,23:45:14,06 ,330     ,18                       ,ST  ,E ,                                        ,5              ,  ,                         ,    ,  ,44.965218,-93.271342,111 ,2018/01/05 00:00:00,01:16:32,1,1,2020/05/12 10:51:51,2018/01/04 23:45:13,2018/01/05 01:16:31
-93.307311749,44.8745389750001,21,18-0000728,Building fire                                     ,2018/01/05 00:00:00,12:27:16,95 ,7100    ,Oliver                   ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.874531,-93.307304,111 ,2018/01/05 00:00:00,13:29:32,1,1,2020/05/12 10:51:51,2018/01/05 12:27:16,2018/01/05 13:29:31
-93.287291765,45.031666,22,18-0000730,Passenger vehicle fire                            ,2018/01/05 00:00:00,13:13:52,20 ,3800-380,INTERSTATE 94 WB         ,    ,  ,                                        ,               ,  ,                         ,    ,  ,45.031658,-93.287284,131 ,2018/01/05 00:00:00,14:01:04,1,1,2020/05/12 10:51:51,2018/01/05 13:13:52,2018/01/05 14:01:04
-93.315894771,45.0177709960001,23,18-0000807,"Excessive heat, scorch burns with no ignition     ",2018/01/05 00:00:00,21:55:56,14 ,3450    ,Vincent                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.017763,-93.315887,251 ,2018/01/05 00:00:00,22:15:59,1,1,2020/05/12 10:51:51,2018/01/05 21:55:56,2018/01/05 22:15:59
-93.2662907449999,44.9284789860001,24,18-0000913,"Excessive heat, scorch burns with no ignition     ",2018/01/06 00:00:00,18:24:12,17 ,4115    ,Oakland                  ,AVE ,  ,                                        ,               ,  ,                         ,    ,  ,44.928471,-93.266283,251 ,2018/01/06 00:00:00,18:51:15,1,1,2020/05/12 10:51:51,2018/01/06 18:24:12,2018/01/06 18:51:15
-93.2545497469999,44.9693879930001,25,18-0000956,Outside equipment fire                            ,2018/01/07 00:00:00,01:39:39,01 ,        ,13                       ,AVE ,S ,                                        ,               ,S ,7                        ,ST  ,  ,44.96938,-93.254542,162 ,2018/01/07 00:00:00,02:48:29,1,1,2020/05/12 10:51:51,2018/01/07 01:39:39,2018/01/07 02:48:29
-93.290561756,44.960783989,26,18-0000968,Building fire                                     ,2018/01/07 00:00:00,04:31:59,08 ,2216    ,Bryant                   ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.960776,-93.290554,111 ,2018/01/07 00:00:00,05:11:20,1,1,2020/05/12 10:51:51,2018/01/07 04:31:59,2018/01/07 05:11:20
-93.296931767,45.025910998,27,18-0001009,Passenger vehicle fire                            ,2018/01/07 00:00:00,12:47:51,20 ,3906    ,Girard                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.025903,-93.296924,131 ,2018/01/07 00:00:00,13:06:27,1,1,2020/05/12 10:51:51,2018/01/07 12:47:50,2018/01/07 13:06:26
-93.26571575,44.9715049920001,28,18-0001032,Passenger vehicle fire                            ,2018/01/07 00:00:00,15:30:18,01 ,        ,Portland                 ,AVE ,  ,                                        ,               ,S ,9                        ,ST  ,  ,44.971497,-93.265708,131 ,2018/01/07 00:00:00,15:48:38,1,1,2020/05/12 10:51:51,2018/01/07 15:30:18,2018/01/07 15:48:38
-93.295600765,45.0177339970001,29,18-0001065,Building fire                                     ,2018/01/07 00:00:00,18:39:17,14 ,3454    ,FREMONT                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.017726,-93.295593,111 ,2018/01/07 00:00:00,21:53:07,2,1,2020/05/12 10:51:51,2018/01/07 18:39:17,2018/01/07 21:53:07
-93.288219752,44.9372169860001,30,18-0001125,Building fire                                     ,2018/01/08 00:00:00,06:35:38,17 ,3627    ,Lyndale                  ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.937209,-93.288212,111 ,2018/01/08 00:00:00,09:22:15,1,1,2020/05/12 10:51:51,2018/01/08 06:35:38,2018/01/08 09:22:15
-93.2968857659999,45.0221819980001,31,18-0001163,Passenger vehicle fire                            ,2018/01/08 00:00:00,12:45:51,14 ,3701    ,Girard                   ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.022174,-93.296878,131 ,2018/01/08 00:00:00,12:59:00,1,1,2020/05/12 10:51:51,2018/01/08 12:45:51,2018/01/08 12:59:00
-93.28531076,45.003693996,32,18-0001238,Building fire                                     ,2018/01/08 00:00:00,23:24:52,04 ,425     ,24                       ,AVE ,N ,                                        ,1              ,  ,                         ,    ,  ,45.003686,-93.285303,111 ,2018/01/08 00:00:00,23:39:02,1,1,2020/05/12 10:51:51,2018/01/08 23:24:52,2018/01/08 23:39:02
-93.295774767,45.0302389990001,33,18-0001316,"Cooking fire, confined to container               ",2018/01/09 00:00:00,14:14:55,20 ,4134    ,Fremont                  ,AVE ,N ,                                        ,6              ,  ,                         ,    ,  ,45.030231,-93.295767,113 ,2018/01/09 00:00:00,14:36:07,1,1,2020/05/12 10:51:51,2018/01/09 14:14:55,2018/01/09 14:36:07
-93.2740477469999,44.926466985,34,18-0001319,Passenger vehicle fire                            ,2018/01/09 00:00:00,14:42:49,17 ,4224    ,2                        ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.926459,-93.27404,131 ,2018/01/09 00:00:00,14:57:49,1,1,2020/05/12 10:51:51,2018/01/09 14:42:48,2018/01/09 14:57:49
-93.314429758,44.9251419820001,35,18-0001342,"Excessive heat, scorch burns with no ignition     ",2018/01/09 00:00:00,18:13:48,28 ,4261    ,Sheridan                 ,AVE ,S ,                                        ,401            ,  ,                         ,    ,  ,44.925134,-93.314422,251 ,2018/01/09 00:00:00,18:33:03,1,1,2020/05/12 10:51:51,2018/01/09 18:13:48,2018/01/09 18:33:03
-93.274080748,44.937178987,36,18-0001369,Passenger vehicle fire                            ,2018/01/09 00:00:00,22:48:35,17 ,3617    ,2                        ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.937171,-93.274073,131 ,2018/01/10 00:00:00,00:39:06,1,1,2020/05/12 10:51:51,2018/01/09 22:48:34,2018/01/10 00:39:06
-93.274080748,44.937178987,37,18-0001369,Passenger vehicle fire                            ,2018/01/09 00:00:00,22:48:35,17 ,3617    ,2                        ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.937171,-93.274073,131 ,2018/01/10 00:00:00,00:39:06,1,1,2020/05/12 10:51:51,2018/01/09 22:48:34,2018/01/10 00:39:06
-93.274080748,44.937178987,38,18-0001369,Building fire                                     ,2018/01/09 00:00:00,22:48:35,17 ,3617    ,2                        ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.937171,-93.274073,111 ,2018/01/10 00:00:00,00:39:06,1,1,2020/05/12 10:51:51,2018/01/09 22:48:34,2018/01/10 00:39:06
-93.286510763,45.0175489980001,39,18-0001397,Passenger vehicle fire                            ,2018/01/10 00:00:00,04:40:22,14 ,3447    ,6                        ,ST  ,N ,                                        ,               ,  ,                         ,    ,  ,45.017541,-93.286503,131 ,2018/01/10 00:00:00,06:05:07,1,1,2020/05/12 10:51:51,2018/01/10 04:40:22,2018/01/10 06:05:07
-93.277098743,44.895624981,40,18-0001422,"Cooking fire, confined to container               ",2018/01/10 00:00:00,09:54:47,27 ,127     ,59                       ,ST  ,E ,                                        ,               ,  ,                         ,    ,  ,44.895617,-93.277091,113 ,2018/01/10 00:00:00,10:55:29,1,1,2020/05/12 10:51:51,2018/01/10 09:54:47,2018/01/10 10:55:28
-93.296908758,44.9625339890001,41,18-0001425,Building fire                                     ,2018/01/10 00:00:00,10:40:32,06 ,2021    ,GIRARD                   ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.962526,-93.296901,111 ,2018/01/10 00:00:00,14:56:31,2,1,2020/05/12 10:51:51,2018/01/10 10:40:32,2018/01/10 14:56:31
