X,Y,OBJECTID,inci_no,descript,alm_date,alm_time,station,number,street,st_type,st_suffix,addr_2,apt_room,xst_prefix,xstreet,xst_type,xst_suffix,latitude,longitude,inci_type,clr_date,clr_time,alarms,complete,LastUpdateDate,StartDate,EndDate
-93.295595765,45.0145509970001,1,17-0000014,Building fire                                     ,2017/01/01 00:00:00,01:18:52,14 ,3223    ,FREMONT                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.014543,-93.295588,111 ,2017/01/01 00:00:00,02:46:54,1,1,2020/05/12 10:51:51,2017/01/01 01:18:51,2017/01/01 02:46:53
-93.3005997659999,45.009641996,2,17-0000121,"Outside rubbish, trash or waste fire              ",2017/01/01 00:00:00,16:27:10,14 ,        ,29                       ,AVE ,N ,                                        ,               ,N ,James                    ,AVE ,  ,45.009634,-93.300592,151 ,2017/01/01 00:00:00,16:47:50,1,1,2020/05/12 10:51:51,2017/01/01 16:27:10,2017/01/01 16:47:50
-93.30958177,45.022284997,3,17-0000142,Passenger vehicle fire                            ,2017/01/01 00:00:00,18:03:12,14 ,        ,37                       ,AVE ,N ,                                        ,               ,N ,Queen                    ,AVE ,  ,45.022277,-93.309574,131 ,2017/01/01 00:00:00,18:09:11,1,1,2020/05/12 10:51:51,2017/01/01 18:03:12,2017/01/01 18:09:11
-93.290127766,45.037026,4,17-0000187,"Outside rubbish, trash or waste fire              ",2017/01/02 00:00:00,01:23:50,20 ,4518    ,ALDRICH                  ,AVE ,N ,                                        ,               ,  ,                         ,    ,  ,45.037018,-93.29012,151 ,2017/01/02 00:00:00,01:46:39,1,1,2020/05/12 10:51:51,2017/01/02 01:23:50,2017/01/02 01:46:39
-93.29210075,44.9132309820001,5,17-0000244,"Excessive heat, scorch burns with no ignition     ",2017/01/02 00:00:00,15:08:51,28 ,4949    ,Colfax                   ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.913223,-93.292093,251 ,2017/01/02 00:00:00,15:36:22,1,1,2020/05/12 10:51:51,2017/01/02 15:08:51,2017/01/02 15:36:22
-93.262592748,44.957332991,6,17-0000272,Passenger vehicle fire                            ,2017/01/02 00:00:00,19:06:58,05 ,        ,Chicago                  ,AVE ,  ,                                        ,               ,E ,25                       ,ST  ,  ,44.957325,-93.262585,131 ,2017/01/02 00:00:00,20:28:14,1,1,2020/05/12 10:51:51,2017/01/02 19:06:58,2017/01/02 20:28:14
-93.289389754,44.947959987,7,17-0000285,Building fire                                     ,2017/01/02 00:00:00,20:27:01,08 ,3023    ,ALDRICH                  ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.947952,-93.289382,111 ,2017/01/02 00:00:00,22:58:05,1,1,2020/05/12 10:51:51,2017/01/02 20:27:01,2017/01/02 22:58:04
-93.252499744,44.94911999,8,17-0000415,"Cooking fire, confined to container               ",2017/01/03 00:00:00,15:51:18,05 ,2955    ,Bloomington              ,AVE ,  ,                                        ,2              ,  ,                         ,    ,  ,44.949112,-93.252492,113 ,2017/01/03 00:00:00,16:04:40,1,1,2020/05/12 10:51:51,2017/01/03 15:51:17,2017/01/03 16:04:40
-93.29465175,44.910388981,9,17-0000437,Building fire                                     ,2017/01/03 00:00:00,18:03:27,28 ,5107    ,Emerson                  ,AVE ,S ,                                        ,               ,  ,                         ,    ,  ,44.910381,-93.294644,111 ,2017/01/03 00:00:00,18:29:50,1,1,2020/05/12 10:51:51,2017/01/03 18:03:27,2017/01/03 18:29:49
-93.250669748,44.9851379950001,10,17-0000439,Passenger vehicle fire                            ,2017/01/03 00:00:00,18:12:28,11 ,        ,4                        ,AVE ,SE,                                        ,               ,SE,University               ,AVE ,  ,44.98513,-93.250662,131 ,2017/01/03 00:00:00,18:29:28,1,1,2020/05/12 10:51:51,2017/01/03 18:12:28,2017/01/03 18:29:28
